task_id,family,p_i,p_j,action_sim,seq_sim,step_diff,exact_match
T1,travel,0,1,0.6666666666666666,0.8,0,0
T1,travel,0,2,0.6666666666666666,0.8,0,0
T1,travel,0,3,0.6666666666666666,0.8,0,0
T1,travel,1,2,1.0,1.0,0,1
T1,travel,1,3,1.0,1.0,0,1
T1,travel,2,3,1.0,1.0,0,1
T2,travel,0,1,0.6666666666666666,0.8,0,0
T2,travel,0,2,0.6666666666666666,0.8,0,0
T2,travel,0,3,0.6666666666666666,0.8,0,0
T2,travel,1,2,1.0,1.0,0,1
T2,travel,1,3,1.0,1.0,0,1
T2,travel,2,3,1.0,1.0,0,1
T3,travel,0,1,1.0,1.0,0,1
T3,travel,0,2,1.0,1.0,0,1
T3,travel,0,3,1.0,1.0,0,1
T3,travel,1,2,1.0,1.0,0,1
T3,travel,1,3,1.0,1.0,0,1
T3,travel,2,3,1.0,1.0,0,1
T4,research,0,1,1.0,1.0,0,1
T4,research,0,2,1.0,1.0,0,1
T4,research,0,3,0.5714285714285714,0.5,1,0
T4,research,1,2,1.0,1.0,0,1
T4,research,1,3,0.5714285714285714,0.5,1,0
T4,research,2,3,0.5714285714285714,0.5,1,0
T5,research,0,1,1.0,1.0,0,1
T5,research,0,2,1.0,1.0,0,1
T5,research,0,3,0.5714285714285714,0.5,1,0
T5,research,1,2,1.0,1.0,0,1
T5,research,1,3,0.5714285714285714,0.5,1,0
T5,research,2,3,0.5714285714285714,0.5,1,0
T6,research,0,1,1.0,1.0,0,1
T6,research,0,2,1.0,1.0,0,1
T6,research,0,3,0.5714285714285714,0.5,1,0
T6,research,1,2,1.0,1.0,0,1
T6,research,1,3,0.5714285714285714,0.5,1,0
T6,research,2,3,0.5714285714285714,0.5,1,0
T7,debugging,0,1,0.5714285714285714,0.6666666666666667,1,0
T7,debugging,0,2,0.8333333333333334,0.8333333333333334,1,0
T7,debugging,0,3,1.0,1.0,0,1
T7,debugging,1,2,0.5,0.6666666666666667,0,0
T7,debugging,1,3,0.5714285714285714,0.6666666666666667,1,0
T7,debugging,2,3,0.8333333333333334,0.8333333333333334,1,0
T8,debugging,0,1,1.0,1.0,0,1
T8,debugging,0,2,0.5,0.6666666666666667,0,0
T8,debugging,0,3,1.0,1.0,0,1
T8,debugging,1,2,0.5,0.6666666666666667,0,0
T8,debugging,1,3,1.0,1.0,0,1
T8,debugging,2,3,0.5,0.6666666666666667,0,0
T9,debugging,0,1,1.0,1.0,0,1
T9,debugging,0,2,0.8333333333333334,0.8333333333333334,1,0
T9,debugging,0,3,1.0,1.0,0,1
T9,debugging,1,2,0.8333333333333334,0.8333333333333334,1,0
T9,debugging,1,3,1.0,1.0,0,1
T9,debugging,2,3,0.8333333333333334,0.8333333333333334,1,0
T10,study,0,1,0.8333333333333334,0.8333333333333334,1,0
T10,study,0,2,1.0,1.0,0,1
T10,study,0,3,0.8333333333333334,0.8333333333333334,1,0
T10,study,1,2,0.8333333333333334,0.8333333333333334,1,0
T10,study,1,3,1.0,1.0,0,1
T10,study,2,3,0.8333333333333334,0.8333333333333334,1,0
T11,study,0,1,0.8333333333333334,0.8333333333333334,1,0
T11,study,0,2,1.0,1.0,0,1
T11,study,0,3,0.8333333333333334,0.8333333333333334,1,0
T11,study,1,2,0.8333333333333334,0.8333333333333334,1,0
T11,study,1,3,1.0,1.0,0,1
T11,study,2,3,0.8333333333333334,0.8333333333333334,1,0
T12,study,0,1,0.8333333333333334,0.8333333333333334,1,0
T12,study,0,2,0.8333333333333334,0.8333333333333334,1,0
T12,study,0,3,0.8333333333333334,0.8333333333333334,1,0
T12,study,1,2,1.0,1.0,0,1
T12,study,1,3,0.6666666666666666,0.6,0,0
T12,study,2,3,0.6666666666666666,0.6,0,0
T13,travel,0,1,0.8,0.8,1,0
T13,travel,0,2,1.0,1.0,0,1
T13,travel,0,3,1.0,1.0,0,1
T13,travel,1,2,0.8,0.8,1,0
T13,travel,1,3,0.8,0.8,1,0
T13,travel,2,3,1.0,1.0,0,1
T14,travel,0,1,0.6666666666666666,0.6,0,0
T14,travel,0,2,1.0,1.0,0,1
T14,travel,0,3,1.0,1.0,0,1
T14,travel,1,2,0.6666666666666666,0.6,0,0
T14,travel,1,3,0.6666666666666666,0.6,0,0
T14,travel,2,3,1.0,1.0,0,1
T15,travel,0,1,0.6666666666666666,0.6,0,0
T15,travel,0,2,0.6666666666666666,0.6,0,0
T15,travel,0,3,0.6666666666666666,0.6,0,0
T15,travel,1,2,1.0,1.0,0,1
T15,travel,1,3,1.0,1.0,0,1
T15,travel,2,3,1.0,1.0,0,1
T16,travel,0,1,1.0,0.6,0,0
T16,travel,0,2,1.0,1.0,0,1
T16,travel,0,3,1.0,1.0,0,1
T16,travel,1,2,1.0,0.6,0,0
T16,travel,1,3,1.0,0.6,0,0
T16,travel,2,3,1.0,1.0,0,1
T17,travel,0,1,0.6666666666666666,0.6,0,0
T17,travel,0,2,0.6666666666666666,0.6,0,0
T17,travel,0,3,1.0,1.0,0,1
T17,travel,1,2,1.0,1.0,0,1
T17,travel,1,3,0.6666666666666666,0.6,0,0
T17,travel,2,3,0.6666666666666666,0.6,0,0
T18,research,0,1,0.6666666666666666,0.8,0,0
T18,research,0,2,1.0,1.0,0,1
T18,research,0,3,0.6666666666666666,0.8,0,0
T18,research,1,2,0.6666666666666666,0.8,0,0
T18,research,1,3,1.0,1.0,0,1
T18,research,2,3,0.6666666666666666,0.8,0,0
T19,research,0,1,0.6666666666666666,0.8,0,0
T19,research,0,2,0.6666666666666666,0.8,0,0
T19,research,0,3,0.5714285714285714,0.5,1,0
T19,research,1,2,1.0,1.0,0,1
T19,research,1,3,0.5714285714285714,0.5,1,0
T19,research,2,3,0.5714285714285714,0.5,1,0
T20,research,0,1,1.0,1.0,0,1
T20,research,0,2,0.6666666666666666,0.8,0,0
T20,research,0,3,0.6666666666666666,0.6,0,0
T20,research,1,2,0.6666666666666666,0.8,0,0
T20,research,1,3,0.6666666666666666,0.6,0,0
T20,research,2,3,0.6666666666666666,0.6,0,0
T21,research,0,1,1.0,1.0,0,1
T21,research,0,2,1.0,1.0,0,1
T21,research,0,3,0.5714285714285714,0.5,1,0
T21,research,1,2,1.0,1.0,0,1
T21,research,1,3,0.5714285714285714,0.5,1,0
T21,research,2,3,0.5714285714285714,0.5,1,0
T22,debugging,0,1,1.0,1.0,0,1
T22,debugging,0,2,1.0,1.0,0,1
T22,debugging,0,3,0.5,0.6666666666666667,0,0
T22,debugging,1,2,1.0,1.0,0,1
T22,debugging,1,3,0.5,0.6666666666666667,0,0
T22,debugging,2,3,0.5,0.6666666666666667,0,0
T23,debugging,0,1,1.0,1.0,0,1
T23,debugging,0,2,0.8333333333333334,0.8333333333333334,1,0
T23,debugging,0,3,0.8333333333333334,0.8333333333333334,1,0
T23,debugging,1,2,0.8333333333333334,0.8333333333333334,1,0
T23,debugging,1,3,0.8333333333333334,0.8333333333333334,1,0
T23,debugging,2,3,1.0,1.0,0,1
T24,debugging,0,1,0.5714285714285714,0.6666666666666667,1,0
