task_id,family,p_i,p_j,action_sim,seq_sim,semantic_sim,step_diff,exact_match
T1,travel,0,1,0.9333333333333332,0.9333333333333332,0.9333335558573405,0.3333333333333333,0.6666666666666666
T1,travel,0,2,0.8888888888888888,0.9333333333333332,0.9699555436770121,0.0,0.6666666666666666
T1,travel,0,3,1.0,1.0,1.000000238418579,0.0,1.0
T1,travel,1,2,0.9333333333333332,0.9333333333333332,0.9333335161209106,0.3333333333333333,0.6666666666666666
T1,travel,1,3,0.9333333333333332,0.9333333333333332,0.9333335161209106,0.3333333333333333,0.6666666666666666
T1,travel,2,3,0.8888888888888888,0.9333333333333332,0.9699555436770121,0.0,0.6666666666666666
T3,travel,0,1,1.0,1.0,1.0000001192092896,0.0,1.0
T3,travel,0,2,1.0,1.0,1.0000001192092896,0.0,1.0
T3,travel,0,3,1.0,1.0,1.0000001192092896,0.0,1.0
T3,travel,1,2,1.0,1.0,1.0000001192092896,0.0,1.0
T3,travel,1,3,1.0,1.0,1.0000001192092896,0.0,1.0
T3,travel,2,3,1.0,1.0,1.0000001192092896,0.0,1.0
T4,research,0,1,1.0,1.0,1.000000238418579,0.0,1.0
T4,research,0,2,1.0,1.0,1.000000238418579,0.0,1.0
T4,research,0,3,0.6349206349206349,0.5666666666666668,0.781730055809021,0.3333333333333333,0.0
T4,research,1,2,1.0,1.0,1.000000238418579,0.0,1.0
T4,research,1,3,0.6349206349206349,0.5666666666666668,0.781730055809021,0.3333333333333333,0.0
T4,research,2,3,0.6349206349206349,0.5666666666666668,0.781730055809021,0.3333333333333333,0.0
T5,research,0,1,1.0,1.0,1.000000238418579,0.0,1.0
T5,research,0,2,1.0,1.0,1.000000238418579,0.0,1.0
T5,research,0,3,0.6031746031746031,0.6,0.7739814122517904,0.6666666666666666,0.0
T5,research,1,2,1.0,1.0,1.000000238418579,0.0,1.0
T5,research,1,3,0.6031746031746031,0.6,0.7739814122517904,0.6666666666666666,0.0
T5,research,2,3,0.6031746031746031,0.6,0.7739814122517904,0.6666666666666666,0.0
T7,debugging,0,1,0.6666666666666666,0.7777777777777778,0.9204713900883993,0.0,0.3333333333333333
T7,debugging,0,2,0.6111111111111112,0.7222222222222223,0.8649158279101054,0.3333333333333333,0.0
T7,debugging,0,3,0.6666666666666666,0.7777777777777778,0.9204713900883993,0.0,0.3333333333333333
T7,debugging,1,2,0.9444444444444445,0.9444444444444445,0.9444444378217062,0.3333333333333333,0.6666666666666666
T7,debugging,1,3,1.0,1.0,1.0,0.0,1.0
T7,debugging,2,3,0.9444444444444445,0.9444444444444445,0.9444444378217062,0.3333333333333333,0.6666666666666666
T8,debugging,0,1,0.7142857142857143,0.7777777777777778,0.8502729336420695,0.6666666666666666,0.3333333333333333
T8,debugging,0,2,0.7222222222222223,0.7777777777777778,0.849124809106191,0.6666666666666666,0.0
T8,debugging,0,3,0.7142857142857143,0.7777777777777778,0.8502729336420695,0.6666666666666666,0.3333333333333333
T8,debugging,1,2,0.5,0.6666666666666666,0.8807070851325989,0.0,0.0
T8,debugging,1,3,1.0,1.0,1.0,0.0,1.0
T8,debugging,2,3,0.5,0.6666666666666666,0.8807070851325989,0.0,0.0
T10,study,0,1,0.8333333333333334,0.8333333333333334,0.8333336710929871,1.0,0.0
T10,study,0,2,1.0,1.0,1.0000003576278687,0.0,1.0
T10,study,0,3,1.0,1.0,1.0000003576278687,0.0,1.0
T10,study,1,2,0.8333333333333334,0.8333333333333334,0.8333336710929871,1.0,0.0
T10,study,1,3,0.8333333333333334,0.8333333333333334,0.8333336710929871,1.0,0.0
T10,study,2,3,1.0,1.0,1.0000003576278687,0.0,1.0
T12,study,0,1,1.0,1.0,1.0000003576278687,0.0,1.0
T12,study,0,2,0.9444444444444445,0.9444444444444445,0.9444447954495748,0.3333333333333333,0.6666666666666666
T12,study,0,3,0.8888888888888888,0.8666666666666667,0.9699556231498718,0.0,0.6666666666666666
T12,study,1,2,0.9444444444444445,0.9444444444444445,0.9444447954495748,0.3333333333333333,0.6666666666666666
T12,study,1,3,0.8888888888888888,0.8666666666666667,0.9699556231498718,0.0,0.6666666666666666
T12,study,2,3,0.8333333333333334,0.8111111111111112,0.914400060971578,0.3333333333333333,0.3333333333333333
