task_id,family,p_i,p_j,action_sim,seq_sim,semantic_sim,step_diff,exact_match,tool_agree
T1,travel,0,1,1.0,1.0,1.0,0,0,0.6
T1,travel,0,2,0.6666666666666666,0.8,0.8196734189987183,0,0,0.4
T1,travel,0,3,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,0.4
T1,travel,1,2,0.6666666666666666,0.8,0.8196734189987183,0,0,0.4
T1,travel,1,3,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,0.6
T1,travel,2,3,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,0.8
T2,travel,0,1,1.0,1.0,1.0,0,0,0.6
T2,travel,0,2,1.0,1.0,1.0,0,0,0.6
T2,travel,0,3,1.0,1.0,1.0,0,1,1.0
T2,travel,1,2,1.0,1.0,1.0,0,1,1.0
T2,travel,1,3,1.0,1.0,1.0,0,0,0.6
T2,travel,2,3,1.0,1.0,1.0,0,0,0.6
T3,travel,0,1,1.0,1.0,1.0,0,1,1.0
T3,travel,0,2,1.0,1.0,1.0,0,1,1.0
T3,travel,0,3,1.0,1.0,1.0,0,1,1.0
T3,travel,1,2,1.0,1.0,1.0,0,1,1.0
T3,travel,1,3,1.0,1.0,1.0,0,1,1.0
T3,travel,2,3,1.0,1.0,1.0,0,1,1.0
T4,research,0,1,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,1.0
T4,research,0,2,1.0,1.0,1.0,0,1,1.0
T4,research,0,3,1.0,1.0,1.0,0,0,0.8
T4,research,1,2,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,1.0
T4,research,1,3,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,0.8
T4,research,2,3,1.0,1.0,1.0,0,0,0.8
T5,research,0,1,1.0,1.0,1.0,0,1,1.0
T5,research,0,2,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,0.8
T5,research,0,3,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,0.8
T5,research,1,2,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,0.8
T5,research,1,3,0.8333333333333334,0.8333333333333334,0.8333334922790527,1,0,0.8
T5,research,2,3,1.0,1.0,1.0,0,0,0.6
T6,research,0,1,1.0,1.0,1.0,0,0,0.8
T6,research,0,2,1.0,1.0,1.0,0,1,1.0
T6,research,0,3,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,1.0
T6,research,1,2,1.0,1.0,1.0,0,0,0.8
T6,research,1,3,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,0.8
T6,research,2,3,0.8333333333333334,0.8333333333333334,0.8333333134651184,1,0,1.0
T7,debugging,0,1,1.0,1.0,1.0,0,1,1.0
T7,debugging,0,2,1.0,1.0,1.0,0,1,1.0
T7,debugging,0,3,1.0,1.0,1.0,0,1,1.0
T7,debugging,1,2,1.0,1.0,1.0,0,1,1.0
T7,debugging,1,3,1.0,1.0,1.0,0,1,1.0
T7,debugging,2,3,1.0,1.0,1.0,0,1,1.0
T8,debugging,0,1,1.0,1.0,1.0,0,0,0.8
T8,debugging,0,2,1.0,1.0,1.0,0,0,0.8
T8,debugging,0,3,1.0,1.0,1.0,0,0,0.8
T8,debugging,1,2,1.0,1.0,1.0,0,1,1.0
T8,debugging,1,3,1.0,1.0,1.0,0,1,1.0
T8,debugging,2,3,1.0,1.0,1.0,0,1,1.0
T9,debugging,0,1,1.0,1.0,1.0,0,1,1.0
T9,debugging,0,2,1.0,1.0,1.0,0,0,0.8
T9,debugging,0,3,1.0,1.0,1.0,0,1,1.0
T9,debugging,1,2,1.0,1.0,1.0,0,0,0.8
T9,debugging,1,3,1.0,1.0,1.0,0,1,1.0
T9,debugging,2,3,1.0,1.0,1.0,0,0,0.8
T10,study,0,1,1.0,1.0,1.0,0,1,1.0
T10,study,0,2,1.0,1.0,1.0,0,1,1.0
T10,study,0,3,1.0,1.0,1.0,0,1,1.0
T10,study,1,2,1.0,1.0,1.0,0,1,1.0
T10,study,1,3,1.0,1.0,1.0,0,1,1.0
T10,study,2,3,1.0,1.0,1.0,0,1,1.0
T11,study,0,1,0.6666666666666666,0.6,0.8605718612670898,0,0,0.6
T11,study,0,2,1.0,1.0,1.0,0,1,1.0
T11,study,0,3,1.0,1.0,1.0,0,1,1.0
T11,study,1,2,0.6666666666666666,0.6,0.8605718612670898,0,0,0.6
T11,study,1,3,0.6666666666666666,0.6,0.8605718612670898,0,0,0.6
T11,study,2,3,1.0,1.0,1.0,0,1,1.0
