task_id,family,p_i,p_j,action_sim,seq_sim,semantic_sim,step_diff,exact_match,tool_agree
T1,travel,0,1,1.0,1.0,1.0,0.0,0.0,0.6
T1,travel,0,2,0.7777777777777777,0.8666666666666667,0.8797822793324789,0.0,0.3333333333333333,0.8666666666666667
T1,travel,0,3,1.0,1.0,1.0,0.0,0.6666666666666666,0.8666666666666667
T1,travel,1,2,0.7777777777777777,0.8666666666666667,0.8797822793324789,0.0,0.0,0.5333333333333333
T1,travel,1,3,1.0,1.0,1.0,0.0,0.3333333333333333,0.7333333333333334
T1,travel,2,3,0.7777777777777777,0.8666666666666667,0.8797822793324789,0.0,0.3333333333333333,0.7999999999999999
T3,travel,0,1,1.0,1.0,1.0,0.0,0.6666666666666666,0.9333333333333332
T3,travel,0,2,1.0,1.0,1.0,0.0,0.0,0.8000000000000002
T3,travel,0,3,1.0,1.0,1.0,0.0,0.0,0.7333333333333334
T3,travel,1,2,1.0,1.0,1.0,0.0,0.3333333333333333,0.8666666666666667
T3,travel,1,3,1.0,1.0,1.0,0.0,0.0,0.7333333333333334
T3,travel,2,3,1.0,1.0,1.0,0.0,0.6666666666666666,0.8666666666666667
T4,research,0,1,0.9047619047619048,0.9444444444444445,0.9727798501650492,0.0,0.6666666666666666,1.0
T4,research,0,2,0.8333333333333334,0.8333333333333334,0.8333334922790527,1.0,0.0,0.8000000000000002
T4,research,0,3,0.8333333333333334,0.8333333333333334,0.8333334922790527,1.0,0.0,0.8000000000000002
T4,research,1,2,0.8333333333333334,0.8333333333333334,0.8333334922790527,1.0,0.0,0.8000000000000002
T4,research,1,3,0.8333333333333334,0.8333333333333334,0.8333334922790527,1.0,0.0,0.8000000000000002
T4,research,2,3,1.0,1.0,1.0,0.0,0.0,0.6
T5,research,0,1,0.8015873015873015,0.8333333333333334,0.8616687456766764,0.6666666666666666,0.3333333333333333,1.0
T5,research,0,2,0.7777777777777778,0.7555555555555555,0.8320440053939819,0.6666666666666666,0.0,0.8000000000000002
T5,research,0,3,0.6984126984126985,0.688888888888889,0.8159767190615336,0.6666666666666666,0.0,0.8666666666666667
T5,research,1,2,0.7777777777777778,0.7555555555555555,0.8345374663670858,0.6666666666666666,0.0,0.8000000000000002
T5,research,1,3,0.6904761904761904,0.7000000000000001,0.8073172767957052,0.6666666666666666,0.0,0.8666666666666667
T5,research,2,3,0.8888888888888888,0.9333333333333332,0.9431711832682291,0.0,0.0,0.6666666666666666
T7,debugging,0,1,1.0,1.0,1.0,0.0,1.0,1.0
T7,debugging,0,2,0.7777777777777777,0.8666666666666667,0.9220373233159384,0.0,0.3333333333333333,0.8666666666666667
T7,debugging,0,3,1.0,1.0,1.0,0.0,1.0,1.0
T7,debugging,1,2,0.7777777777777777,0.8666666666666667,0.9220373233159384,0.0,0.3333333333333333,0.8666666666666667
T7,debugging,1,3,1.0,1.0,1.0,0.0,1.0,1.0
T7,debugging,2,3,0.7777777777777777,0.8666666666666667,0.9220373233159384,0.0,0.3333333333333333,0.8666666666666667
T8,debugging,0,1,1.0,1.0,1.0,0.0,0.6666666666666666,0.9333333333333332
T8,debugging,0,2,1.0,1.0,1.0,0.0,0.0,0.6
T8,debugging,0,3,1.0,1.0,1.0,0.0,0.3333333333333333,0.7999999999999999
T8,debugging,1,2,1.0,1.0,1.0,0.0,0.0,0.6666666666666666
T8,debugging,1,3,1.0,1.0,1.0,0.0,0.0,0.7333333333333334
T8,debugging,2,3,1.0,1.0,1.0,0.0,0.0,0.7333333333333334
T10,study,0,1,1.0,1.0,1.0,0.0,1.0,1.0
T10,study,0,2,1.0,1.0,1.0,0.0,1.0,1.0
T10,study,0,3,1.0,1.0,1.0,0.0,1.0,1.0
T10,study,1,2,1.0,1.0,1.0,0.0,1.0,1.0
T10,study,1,3,1.0,1.0,1.0,0.0,1.0,1.0
T10,study,2,3,1.0,1.0,1.0,0.0,1.0,1.0
T12,study,0,1,1.0,1.0,1.0,0.0,0.6666666666666666,0.9333333333333332
T12,study,0,2,0.8333333333333334,0.8777777777777778,0.8843355774879456,0.3333333333333333,0.0,0.8666666666666667
T12,study,0,3,1.0,1.0,1.0,0.0,0.3333333333333333,0.8666666666666667
T12,study,1,2,0.8333333333333334,0.8777777777777778,0.8843355774879456,0.3333333333333333,0.3333333333333333,0.9333333333333332
T12,study,1,3,1.0,1.0,1.0,0.0,0.6666666666666666,0.9333333333333332
T12,study,2,3,0.8333333333333334,0.8777777777777778,0.8843355774879456,0.3333333333333333,0.3333333333333333,0.8666666666666667
