task_id,family,action_sim,seq_sim,semantic_sim,step_diff,exact_match
T1,travel,0.8333333333333334,0.9,0.9549331963062286,0.0,0.5
T10,study,0.888888888888889,0.888888888888889,0.8888892332712809,0.6666666666666666,0.3333333333333333
T11,study,0.888888888888889,0.888888888888889,0.8888892332712809,0.6666666666666666,0.3333333333333333
T12,study,0.8055555555555555,0.7833333333333333,0.8866222500801086,0.5,0.16666666666666666
T13,travel,0.9,0.9,0.9000000953674316,0.5,0.5
T14,travel,0.8333333333333334,0.7999999999999999,0.9549331367015839,0.0,0.5
T15,travel,0.8333333333333334,0.7999999999999999,0.9549331367015839,0.0,0.5
T16,travel,1.0,0.7999999999999999,1.0000001589457195,0.0,0.5
T17,travel,0.7777777777777777,0.7333333333333334,0.9399108489354452,0.0,0.3333333333333333
T18,research,0.7777777777777777,0.8666666666666667,0.9308545589447021,0.0,0.3333333333333333
T19,research,0.6746031746031745,0.6833333333333332,0.8172862629095713,0.5,0.16666666666666666
T2,travel,0.8333333333333334,0.9,0.9549331963062286,0.0,0.5
T20,research,0.7222222222222222,0.7333333333333334,0.8701107501983643,0.0,0.16666666666666666
T21,research,0.7857142857142857,0.75,0.8564157485961914,0.5,0.5
T22,debugging,0.75,0.8333333333333334,0.9403536021709442,0.0,0.5
T23,debugging,0.888888888888889,0.888888888888889,0.8888891935348511,0.6666666666666666,0.3333333333333333
T24,debugging,0.7142857142857143,0.7777777777777778,0.8618301550547282,0.6666666666666666,0.3333333333333333
T25,debugging,1.0,1.0,1.0000001192092896,0.0,1.0
T26,study,0.9166666666666666,0.9166666666666666,0.9166670143604279,0.5,0.5
T27,study,1.0,1.0,1.0000003576278687,0.0,1.0
T28,study,0.9,0.9,0.9000002145767212,0.5,0.5
T29,study,0.9166666666666666,0.9166666666666666,0.9166670143604279,0.5,0.5
T3,travel,1.0,1.0,1.0000001192092896,0.0,1.0
T30,study,1.0,1.0,1.0000003576278687,0.0,1.0
T31,research,0.6746031746031745,0.6833333333333332,0.8172862629095713,0.5,0.16666666666666666
T32,debugging,0.6626984126984127,0.75,0.8633730014165243,0.5,0.16666666666666666
T4,research,0.7857142857142857,0.75,0.8564157485961914,0.5,0.5
T5,research,0.7857142857142857,0.75,0.8564157485961914,0.5,0.5
T6,research,0.7857142857142857,0.75,0.8564157485961914,0.5,0.5
T7,debugging,0.7182539682539683,0.7777777777777778,0.8496989011764526,0.6666666666666666,0.16666666666666666
T8,debugging,0.75,0.8333333333333334,0.9403535425662994,0.0,0.5
T9,debugging,0.9166666666666666,0.9166666666666666,0.9166669845581055,0.5,0.5
