task_id,family,action_sim,seq_sim,semantic_sim,step_diff,exact_match,tool_agree
T1,travel,0.8055555555555555,0.8500000000000001,0.8565577963987986,0.5,0.0,0.5333333333333333
T10,study,1.0,1.0,1.0,0.0,1.0,1.0
T11,study,0.8333333333333334,0.7999999999999999,0.9302859306335449,0.0,0.5,0.7999999999999999
T12,study,1.0,1.0,1.0,0.0,0.5,0.9
T13,travel,1.0,1.0,1.0,0.0,0.5,0.7999999999999999
T14,travel,1.0,1.0,1.0,0.0,1.0,1.0
T15,travel,1.0,1.0,1.0,0.0,0.5,0.7000000000000001
T16,travel,1.0,1.0,1.0,0.0,1.0,1.0
T17,travel,1.0,1.0,1.0,0.0,0.16666666666666666,0.7999999999999999
T18,research,0.9166666666666666,0.9166666666666666,0.916666716337204,0.5,0.16666666666666666,0.7666666666666666
T19,research,0.9166666666666666,0.9166666666666666,0.916666716337204,0.5,0.0,0.7999999999999999
T2,travel,1.0,1.0,1.0,0.0,0.3333333333333333,0.7333333333333334
T20,research,0.888888888888889,0.888888888888889,0.8888889948527018,0.6666666666666666,0.16666666666666666,0.9
T21,research,0.9166666666666666,0.9166666666666666,0.916666716337204,0.5,0.16666666666666666,0.9
T22,debugging,0.8333333333333334,0.8555555555555556,0.8693982064723969,0.6666666666666666,0.0,0.6833333333333332
T23,debugging,0.8333333333333334,0.9,0.9415279924869537,0.0,0.5,0.7000000000000001
T24,debugging,0.8055555555555555,0.8500000000000001,0.8776853779951731,0.5,0.16666666666666666,0.6666666666666666
T25,debugging,0.888888888888889,0.888888888888889,0.8888888756434122,0.6666666666666666,0.16666666666666666,0.638888888888889
T26,study,0.7222222222222222,0.7000000000000001,0.8782782951990763,0.0,0.0,0.6666666666666666
T27,study,1.0,1.0,1.0,0.0,1.0,1.0
T28,study,0.7888888888888889,0.7666666666666666,0.8535239597161611,0.5,0.16666666666666666,0.7000000000000001
T29,study,0.8333333333333334,0.7999999999999999,0.9302859306335449,0.0,0.5,0.7999999999999999
T3,travel,1.0,1.0,1.0,0.0,1.0,1.0
T30,study,0.9166666666666666,0.9166666666666666,0.9166666567325592,0.5,0.16666666666666666,0.7999999999999999
T31,research,0.888888888888889,0.888888888888889,0.8888889948527018,0.6666666666666666,0.16666666666666666,0.7999999999999999
T32,debugging,0.8333333333333334,0.9,0.9415279924869537,0.0,0.0,0.6
T4,research,0.9166666666666666,0.9166666666666666,0.916666716337204,0.5,0.16666666666666666,0.9
T5,research,0.888888888888889,0.888888888888889,0.8888889948527018,0.6666666666666666,0.16666666666666666,0.7999999999999999
T6,research,0.9166666666666666,0.9166666666666666,0.9166666567325592,0.5,0.16666666666666666,0.9
T7,debugging,1.0,1.0,1.0,0.0,1.0,1.0
T8,debugging,1.0,1.0,1.0,0.0,0.5,0.9
T9,debugging,1.0,1.0,1.0,0.0,0.5,0.9
